,Partner ID,Field Partner Name,sector,Loan Theme ID,Loan Theme Type,country,forkiva,region,ISO,number,amount,LocationName,geocode,names,geo,lat,lon,mpi_region,mpi_geo,rural_pct
0,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Banteay Meanchey,KHM,1,450,"Banteay Meanchey, Cambodia","[(13.6672596, 102.8975098)]",Banteay Meanchey Province; Cambodia,"(13.6672596, 102.8975098)",13.6672596,102.8975098,"Banteay Mean Chey, Cambodia","(13.6672596, 102.8975098)",90.0
1,9,KREDIT Microfinance Institution,General Financial Inclusion,a10500000068jPe,Vulnerable Populations,Cambodia,No,Battambang Province,KHM,58,20275,"Battambang Province, Cambodia","[(13.0286971, 102.989615)]",Battambang Province; Cambodia,"(13.0286971, 102.989615)",13.0286971,102.989615,"Banteay Mean Chey, Cambodia","(13.6672596, 102.8975098)",90.0
2,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Battambang Province,KHM,7,9150,"Battambang Province, Cambodia","[(13.0286971, 102.989615)]",Battambang Province; Cambodia,"(13.0286971, 102.989615)",13.0286971,102.989615,"Banteay Mean Chey, Cambodia","(13.6672596, 102.8975098)",90.0
3,9,KREDIT Microfinance Institution,General Financial Inclusion,a10500000068jPe,Vulnerable Populations,Cambodia,No,Kampong Cham Province,KHM,1383,604950,"Kampong Cham Province, Cambodia","[(12.0982918, 105.3131185)]",Kampong Cham Province; Cambodia,"(12.0982918, 105.3131185)",12.0982918,105.3131185,"Kampong Cham, Cambodia","(11.9924294, 105.4645408)",90.0
4,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000002X1Uu,Sanitation,Cambodia,No,Kampong Cham Province,KHM,3,275,"Kampong Cham Province, Cambodia","[(12.0982918, 105.3131185)]",Kampong Cham Province; Cambodia,"(12.0982918, 105.3131185)",12.0982918,105.3131185,"Kampong Cham, Cambodia","(11.9924294, 105.4645408)",90.0
5,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Kampong Cham Province,KHM,36,62225,"Kampong Cham Province, Cambodia","[(12.0982918, 105.3131185)]",Kampong Cham Province; Cambodia,"(12.0982918, 105.3131185)",12.0982918,105.3131185,"Kampong Cham, Cambodia","(11.9924294, 105.4645408)",90.0
6,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000007VvXr,Solar Home Systems,Cambodia,No,Kampong Cham Province,KHM,2,1300,"Kampong Cham Province, Cambodia","[(12.0982918, 105.3131185)]",Kampong Cham Province; Cambodia,"(12.0982918, 105.3131185)",12.0982918,105.3131185,"Kampong Cham, Cambodia","(11.9924294, 105.4645408)",90.0
7,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000weyk,General,Cambodia,No,Kampong Chhnang Province,KHM,249,237175,"Kampong Chhnang Province, Cambodia","[(12.1392352, 104.5655273)]",Kampong Chhnang Province; Cambodia,"(12.1392352, 104.5655273)",12.1392352,104.5655273,"Kampong Chhnang, Cambodia","(12.1392352, 104.5655273)",90.0
8,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000007VvXr,Solar Home Systems,Cambodia,No,Kampong Chhnang Province,KHM,7,3050,"Kampong Chhnang Province, Cambodia","[(12.1392352, 104.5655273)]",Kampong Chhnang Province; Cambodia,"(12.1392352, 104.5655273)",12.1392352,104.5655273,"Kampong Chhnang, Cambodia","(12.1392352, 104.5655273)",90.0
9,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Kampong Chhnang Province,KHM,18,31425,"Kampong Chhnang Province, Cambodia","[(12.1392352, 104.5655273)]",Kampong Chhnang Province; Cambodia,"(12.1392352, 104.5655273)",12.1392352,104.5655273,"Kampong Chhnang, Cambodia","(12.1392352, 104.5655273)",90.0
10,9,KREDIT Microfinance Institution,General Financial Inclusion,a10500000068jPe,Vulnerable Populations,Cambodia,No,Kampong Chhnang Province,KHM,890,323950,"Kampong Chhnang Province, Cambodia","[(12.1392352, 104.5655273)]",Kampong Chhnang Province; Cambodia,"(12.1392352, 104.5655273)",12.1392352,104.5655273,"Kampong Chhnang, Cambodia","(12.1392352, 104.5655273)",90.0
11,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000002X1Uu,Sanitation,Cambodia,No,Kampong Chhnang Province,KHM,1,1000,"Kampong Chhnang Province, Cambodia","[(12.1392352, 104.5655273)]",Kampong Chhnang Province; Cambodia,"(12.1392352, 104.5655273)",12.1392352,104.5655273,"Kampong Chhnang, Cambodia","(12.1392352, 104.5655273)",90.0
12,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000002X1Uu,Sanitation,Cambodia,No,Kampong Speu Province,KHM,1,1000,"Kampong Speu Province, Cambodia","[(11.6155109, 104.3791912)]",Kampong Speu Province; Cambodia,"(11.6155109, 104.3791912)",11.6155109,104.3791912,"Phnom Penh, Cambodia","(11.5448729, 104.8921668)",90.0
13,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Kampong Speu Province,KHM,10,15625,"Kampong Speu Province, Cambodia","[(11.6155109, 104.3791912)]",Kampong Speu Province; Cambodia,"(11.6155109, 104.3791912)",11.6155109,104.3791912,"Phnom Penh, Cambodia","(11.5448729, 104.8921668)",90.0
14,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000weyk,General,Cambodia,No,Kampong Speu Province,KHM,19,20925,"Kampong Speu Province, Cambodia","[(11.6155109, 104.3791912)]",Kampong Speu Province; Cambodia,"(11.6155109, 104.3791912)",11.6155109,104.3791912,"Phnom Penh, Cambodia","(11.5448729, 104.8921668)",90.0
15,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Kampot Province,KHM,11,18650,"Kampot Province, Cambodia","[(10.7412089, 104.1930918)]",Kampot Province; Cambodia,"(10.7412089, 104.1930918)",10.7412089,104.1930918,"Kampot & Kep, Cambodia","(10.4790637, 104.2941991)",90.0
16,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000weyk,General,Cambodia,No,Kandal Province,KHM,13,17025,"Kandal Province, Cambodia","[(11.2237383, 105.1258955)]",Kandal; Cambodia,"(11.2237383, 105.1258955)",11.2237383,105.1258955,"Kandal, Cambodia","(11.2237383, 105.1258955)",90.0
17,9,KREDIT Microfinance Institution,General Financial Inclusion,a10500000068jPe,Vulnerable Populations,Cambodia,No,Kandal Province,KHM,156,68075,"Kandal Province, Cambodia","[(11.2237383, 105.1258955)]",Kandal; Cambodia,"(11.2237383, 105.1258955)",11.2237383,105.1258955,"Kandal, Cambodia","(11.2237383, 105.1258955)",90.0
18,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Kandal Province,KHM,31,63250,"Kandal Province, Cambodia","[(11.2237383, 105.1258955)]",Kandal; Cambodia,"(11.2237383, 105.1258955)",11.2237383,105.1258955,"Kandal, Cambodia","(11.2237383, 105.1258955)",90.0
19,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Kratie Province,KHM,7,15650,"Kratie Province, Cambodia","[(12.8606299, 105.9699878)]",KratiÍ© Province; Cambodia,"(12.8606299, 105.9699878)",12.8606299,105.9699878,"Kratie, Cambodia","(12.4896877, 106.0287512)",90.0
20,9,KREDIT Microfinance Institution,General Financial Inclusion,a10500000068jPe,Vulnerable Populations,Cambodia,No,Kratie Province,KHM,704,303275,"Kratie Province, Cambodia","[(12.8606299, 105.9699878)]",KratiÍ© Province; Cambodia,"(12.8606299, 105.9699878)",12.8606299,105.9699878,"Kratie, Cambodia","(12.4896877, 106.0287512)",90.0
21,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Phnom Penh,KHM,55,39275,"Phnom Penh, Cambodia","[(11.5448729, 104.8921668)]",Phnom Penh; Phnom Penh; Cambodia,"(11.5448729, 104.8921668)",11.5448729,104.8921668,"Phnom Penh, Cambodia","(11.5448729, 104.8921668)",90.0
22,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000weyk,General,Cambodia,No,Prey Veng Province,KHM,1,200,"Prey Veng Province, Cambodia","[(11.3802442, 105.5005483)]",Prey Veng Province; Cambodia,"(11.3802442, 105.5005483)",11.3802442,105.5005483,"Prey Veng, Cambodia","(11.3802442, 105.5005483)",90.0
23,9,KREDIT Microfinance Institution,General Financial Inclusion,a10500000068jPe,Vulnerable Populations,Cambodia,No,Prey Veng Province,KHM,1262,542350,"Prey Veng Province, Cambodia","[(11.3802442, 105.5005483)]",Prey Veng Province; Cambodia,"(11.3802442, 105.5005483)",11.3802442,105.5005483,"Prey Veng, Cambodia","(11.3802442, 105.5005483)",90.0
24,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000007VvXr,Solar Home Systems,Cambodia,No,Prey Veng Province,KHM,8,4500,"Prey Veng Province, Cambodia","[(11.3802442, 105.5005483)]",Prey Veng Province; Cambodia,"(11.3802442, 105.5005483)",11.3802442,105.5005483,"Prey Veng, Cambodia","(11.3802442, 105.5005483)",90.0
25,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Prey Veng Province,KHM,52,109050,"Prey Veng Province, Cambodia","[(11.3802442, 105.5005483)]",Prey Veng Province; Cambodia,"(11.3802442, 105.5005483)",11.3802442,105.5005483,"Prey Veng, Cambodia","(11.3802442, 105.5005483)",90.0
26,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000007VvXr,Solar Home Systems,Cambodia,No,Pursat Province,KHM,1,450,"Pursat Province, Cambodia","[(12.3663211, 103.6362715)]",Pursat Province; Cambodia,"(12.3663211, 103.6362715)",12.3663211,103.6362715,"Pursat, Cambodia","(12.3663211, 103.6362715)",90.0
27,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000weyk,General,Cambodia,No,Pursat Province,KHM,1,1500,"Pursat Province, Cambodia","[(12.3663211, 103.6362715)]",Pursat Province; Cambodia,"(12.3663211, 103.6362715)",12.3663211,103.6362715,"Pursat, Cambodia","(12.3663211, 103.6362715)",90.0
28,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Pursat Province,KHM,9,8600,"Pursat Province, Cambodia","[(12.3663211, 103.6362715)]",Pursat Province; Cambodia,"(12.3663211, 103.6362715)",12.3663211,103.6362715,"Pursat, Cambodia","(12.3663211, 103.6362715)",90.0
29,9,KREDIT Microfinance Institution,General Financial Inclusion,a10500000068jPe,Vulnerable Populations,Cambodia,No,Pursat Province,KHM,5,1850,"Pursat Province, Cambodia","[(12.3663211, 103.6362715)]",Pursat Province; Cambodia,"(12.3663211, 103.6362715)",12.3663211,103.6362715,"Pursat, Cambodia","(12.3663211, 103.6362715)",90.0
30,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000weyk,General,Cambodia,No,Siem Reap Province,KHM,8,8700,"Siem Reap Province, Cambodia","[(13.6915377, 104.1001326)]",Siem Reap Province; Cambodia,"(13.6915377, 104.1001326)",13.691537699999998,104.1001326,"Siem Reap, Cambodia","(13.3670968, 103.8448134)",90.0
31,9,KREDIT Microfinance Institution,General Financial Inclusion,a10500000068jPe,Vulnerable Populations,Cambodia,No,Siem Reap Province,KHM,1,500,"Siem Reap Province, Cambodia","[(13.6915377, 104.1001326)]",Siem Reap Province; Cambodia,"(13.6915377, 104.1001326)",13.691537699999998,104.1001326,"Siem Reap, Cambodia","(13.3670968, 103.8448134)",90.0
32,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000007VvXr,Solar Home Systems,Cambodia,No,Siem Reap Province,KHM,7,2775,"Siem Reap Province, Cambodia","[(13.6915377, 104.1001326)]",Siem Reap Province; Cambodia,"(13.6915377, 104.1001326)",13.691537699999998,104.1001326,"Siem Reap, Cambodia","(13.3670968, 103.8448134)",90.0
33,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Siem Reap Province,KHM,29,22575,"Siem Reap Province, Cambodia","[(13.6915377, 104.1001326)]",Siem Reap Province; Cambodia,"(13.6915377, 104.1001326)",13.691537699999998,104.1001326,"Siem Reap, Cambodia","(13.3670968, 103.8448134)",90.0
34,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000002X1Uu,Sanitation,Cambodia,No,Siem Reap Province,KHM,1,500,"Siem Reap Province, Cambodia","[(13.6915377, 104.1001326)]",Siem Reap Province; Cambodia,"(13.6915377, 104.1001326)",13.691537699999998,104.1001326,"Siem Reap, Cambodia","(13.3670968, 103.8448134)",90.0
36,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000006TkWH,Underserved,Cambodia,No,Steung Traeng Province,KHM,77,49200,"Steung Traeng Province, Cambodia","[(13.576473, 105.9699878)]",Steung Treng Province; Cambodia,"(13.576473, 105.9699878)",13.576473000000002,105.9699878,"Kratie, Cambodia","(12.4896877, 106.0287512)",90.0
37,9,KREDIT Microfinance Institution,General Financial Inclusion,a10500000068jPe,Vulnerable Populations,Cambodia,No,Steung Traeng Province,KHM,32,14425,"Steung Traeng Province, Cambodia","[(13.576473, 105.9699878)]",Steung Treng Province; Cambodia,"(13.576473, 105.9699878)",13.576473000000002,105.9699878,"Kratie, Cambodia","(12.4896877, 106.0287512)",90.0
38,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000weyk,General,Cambodia,No,Steung Traeng Province,KHM,4,4850,"Steung Traeng Province, Cambodia","[(13.576473, 105.9699878)]",Steung Treng Province; Cambodia,"(13.576473, 105.9699878)",13.576473000000002,105.9699878,"Kratie, Cambodia","(12.4896877, 106.0287512)",90.0
39,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Steung Traeng Province,KHM,9,13425,"Steung Traeng Province, Cambodia","[(13.576473, 105.9699878)]",Steung Treng Province; Cambodia,"(13.576473, 105.9699878)",13.576473000000002,105.9699878,"Kratie, Cambodia","(12.4896877, 106.0287512)",90.0
40,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000002X1Uu,Sanitation,Cambodia,No,Svay Reang Province,KHM,7,3250,"Svay Reang Province, Cambodia","[(11.142722, 105.8290298)]",Svay Rieng Province; Cambodia,"(11.142722, 105.8290298)",11.142722,105.8290298,"Svay Rieng, Cambodia","(11.142722, 105.8290298)",90.0
41,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000007VvXr,Solar Home Systems,Cambodia,No,Svay Reang Province,KHM,15,7100,"Svay Reang Province, Cambodia","[(11.142722, 105.8290298)]",Svay Rieng Province; Cambodia,"(11.142722, 105.8290298)",11.142722,105.8290298,"Svay Rieng, Cambodia","(11.142722, 105.8290298)",90.0
42,9,KREDIT Microfinance Institution,General Financial Inclusion,a1050000000slfi,Higher Education,Cambodia,No,Svay Reang Province,KHM,2,3000,"Svay Reang Province, Cambodia","[(11.142722, 105.8290298)]",Svay Rieng Province; Cambodia,"(11.142722, 105.8290298)",11.142722,105.8290298,"Svay Rieng, Cambodia","(11.142722, 105.8290298)",90.0
